,,,,,,,,,,
编号,名称,类型,属性,HP,攻击,防御,特攻,特防,速度,图片链接
231,Phanpy,Ground, ,90,60,60,40,40,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/phanpy.png
232,Donphan,Ground, ,90,120,120,60,60,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/donphan.png
233,Porygon2,Normal, ,85,80,90,105,95,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/porygon2.png
234,Stantler,Normal, ,73,95,62,85,65,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/stantler.png
235,Smeargle,Normal, ,55,20,35,20,45,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/smeargle.png
236,Tyrogue,Fighting, ,35,35,35,35,35,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/tyrogue.png
237,Hitmontop,Fighting, ,50,95,95,35,110,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/hitmontop.png
238,Smoochum,Ice,Psychic,45,30,15,85,65,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/smoochum.png
239,Elekid,Electric, ,45,63,37,65,55,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/elekid.png
240,Magby,Fire, ,45,75,37,70,55,83,https://img.pokemondb.net/sprites/scarlet-violet/icon/magby.png
241,Miltank,Normal, ,95,80,105,40,70,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/miltank.png
242,Blissey,Normal, ,255,10,10,75,135,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/blissey.png
243,Raikou,Electric, ,90,85,75,115,100,115,https://img.pokemondb.net/sprites/scarlet-violet/icon/raikou.png
244,Entei,Fire, ,115,115,85,90,75,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/entei.png
245,Suicune,Water, ,100,75,115,90,115,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/suicune.png
246,Larvitar,Rock,Ground,50,64,50,45,50,41,https://img.pokemondb.net/sprites/scarlet-violet/icon/larvitar.png
247,Pupitar,Rock,Ground,70,84,70,65,70,51,https://img.pokemondb.net/sprites/scarlet-violet/icon/pupitar.png
248,Tyranitar,Rock,Dark,100,134,110,95,100,61,https://img.pokemondb.net/sprites/scarlet-violet/icon/tyranitar.png
249,Lugia,Psychic,Flying,106,90,130,90,154,110,https://img.pokemondb.net/sprites/scarlet-violet/icon/lugia.png
250,Ho-oh,Fire,Flying,106,130,90,110,154,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/ho-oh.png
251,Celebi,Psychic,Grass,100,100,100,100,100,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/celebi.png
252,Treecko,Grass, ,40,45,35,65,55,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/treecko.png
253,Grovyle,Grass, ,50,65,45,85,65,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/grovyle.png
254,Sceptile,Grass, ,70,85,65,105,85,120,https://img.pokemondb.net/sprites/scarlet-violet/icon/sceptile.png
255,Torchic,Fire, ,45,60,40,70,50,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/torchic.png
256,Combusken,Fire,Fighting,60,85,60,85,60,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/combusken.png
257,Blaziken,Fire,Fighting,80,120,70,110,70,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/blaziken.png
258,Mudkip,Water, ,50,70,50,50,50,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/mudkip.png
259,Marshtomp,Water,Ground,70,85,70,60,70,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/marshtomp.png
260,Swampert,Water,Ground,100,110,90,85,90,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/swampert.png
261,Poochyena,Dark, ,35,55,35,30,30,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/poochyena.png
262,Mightyena,Dark, ,70,90,70,60,60,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/mightyena.png
263,Zigzagoon,Normal, ,38,30,41,30,41,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/zigzagoon.png
264,Linoone,Normal, ,78,70,61,50,61,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/linoone.png
265,Wurmple,Bug, ,45,45,35,20,30,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/wurmple.png
266,Silcoon,Bug, ,50,35,55,25,25,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/silcoon.png
267,Beautifly,Bug,Flying,60,70,50,100,50,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/beautifly.png
268,Cascoon,Bug, ,50,35,55,25,25,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/cascoon.png
269,Dustox,Bug,Poison,60,50,70,50,90,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/dustox.png
270,Lotad,Water,Grass,40,30,30,40,50,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/lotad.png
271,Lombre,Water,Grass,60,50,50,60,70,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/lombre.png
272,Ludicolo,Water,Grass,80,70,70,90,100,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/ludicolo.png
273,Seedot,Grass, ,40,40,50,30,30,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/seedot.png
274,Nuzleaf,Grass,Dark,70,70,40,60,40,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/nuzleaf.png
275,Shiftry,Grass,Dark,90,100,60,90,60,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/shiftry.png
276,Taillow,Normal,Flying,40,55,30,30,30,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/taillow.png
277,Swellow,Normal,Flying,60,85,60,75,50,125,https://img.pokemondb.net/sprites/scarlet-violet/icon/swellow.png
278,Wingull,Water,Flying,40,30,30,55,30,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/wingull.png
279,Pelipper,Water,Flying,60,50,100,95,70,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/pelipper.png
280,Ralts,Psychic,Fairy,28,25,25,45,35,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/ralts.png
281,Kirlia,Psychic,Fairy,38,35,35,65,55,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/kirlia.png
282,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/gardevoir.png
283,Surskit,Bug,Water,40,30,32,50,52,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/surskit.png
284,Masquerain,Bug,Flying,70,60,62,100,82,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/masquerain.png
285,Shroomish,Grass, ,60,40,60,40,60,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/shroomish.png
286,Breloom,Grass,Fighting,60,130,80,60,60,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/breloom.png
287,Slakoth,Normal, ,60,60,60,35,35,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/slakoth.png
288,Vigoroth,Normal, ,80,80,80,55,55,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/vigoroth.png
289,Slaking,Normal, ,150,160,100,95,65,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/slaking.png
290,Nincada,Bug,Ground,31,45,90,30,30,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/nincada.png
291,Ninjask,Bug,Flying,61,90,45,50,50,160,https://img.pokemondb.net/sprites/scarlet-violet/icon/ninjask.png
292,Shedinja,Bug,Ghost,1,90,45,30,30,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/shedinja.png
293,Whismur,Normal, ,64,51,23,51,23,28,https://img.pokemondb.net/sprites/scarlet-violet/icon/whismur.png
294,Loudred,Normal, ,84,71,43,71,43,48,https://img.pokemondb.net/sprites/scarlet-violet/icon/loudred.png
295,Exploud,Normal, ,104,91,63,91,73,68,https://img.pokemondb.net/sprites/scarlet-violet/icon/exploud.png
296,Makuhita,Fighting, ,72,60,30,20,30,25,https://img.pokemondb.net/sprites/scarlet-violet/icon/makuhita.png
297,Hariyama,Fighting, ,144,120,60,40,60,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/hariyama.png
298,Azurill,Normal,Fairy,50,20,40,20,40,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/azurill.png
299,Nosepass,Rock, ,30,45,135,45,90,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/nosepass.png
300,Skitty,Normal, ,50,45,45,35,35,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/skitty.png
301,Delcatty,Normal, ,70,65,65,55,55,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/delcatty.png
302,Sableye,Dark,Ghost,50,75,75,65,65,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/sableye.png
303,Mawile,Steel,Fairy,50,85,85,55,55,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/mawile.png
304,Aron,Steel,Rock,50,70,100,40,40,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/aron.png
305,Lairon,Steel,Rock,60,90,140,50,50,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/lairon.png
306,Aggron,Steel,Rock,70,110,180,60,60,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/aggron.png
307,Meditite,Fighting,Psychic,30,40,55,40,55,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/meditite.png
308,Medicham,Fighting,Psychic,60,60,75,60,75,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/medicham.png
309,Electrike,Electric, ,40,45,40,65,40,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/electrike.png
310,Manectric,Electric, ,70,75,60,105,60,105,https://img.pokemondb.net/sprites/scarlet-violet/icon/manectric.png
311,Plusle,Electric, ,60,50,40,85,75,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/plusle.png
312,Minun,Electric, ,60,40,50,75,85,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/minun.png
313,Volbeat,Bug, ,65,73,75,47,85,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/volbeat.png
314,Illumise,Bug, ,65,47,75,73,85,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/illumise.png
315,Roselia,Grass,Poison,50,60,45,100,80,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/roselia.png
316,Gulpin,Poison, ,70,43,53,43,53,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/gulpin.png
317,Swalot,Poison, ,100,73,83,73,83,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/swalot.png
318,Carvanha,Water,Dark,45,90,20,65,20,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/carvanha.png
319,Sharpedo,Water,Dark,70,120,40,95,40,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/sharpedo.png
320,Wailmer,Water, ,130,70,35,70,35,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/wailmer.png
321,Wailord,Water, ,170,90,45,90,45,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/wailord.png
322,Numel,Fire,Ground,60,60,40,65,45,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/numel.png
323,Camerupt,Fire,Ground,70,100,70,105,75,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/camerupt.png
324,Torkoal,Fire, ,70,85,140,85,70,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/torkoal.png
325,Spoink,Psychic, ,60,25,35,70,80,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/spoink.png
326,Grumpig,Psychic, ,80,45,65,90,110,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/grumpig.png
327,Spinda,Normal, ,60,60,60,60,60,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/spinda.png
328,Trapinch,Ground, ,45,100,45,45,45,10,https://img.pokemondb.net/sprites/scarlet-violet/icon/trapinch.png
329,Vibrava,Ground,Dragon,50,70,50,50,50,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/vibrava.png
330,Flygon,Ground,Dragon,80,100,80,80,80,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/flygon.png
331,Cacnea,Grass, ,50,85,40,85,40,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/cacnea.png
332,Cacturne,Grass,Dark,70,115,60,115,60,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/cacturne.png
333,Swablu,Normal,Flying,45,40,60,40,75,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/swablu.png
334,Altaria,Dragon,Flying,75,70,90,70,105,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/altaria.png
335,Zangoose,Normal, ,73,115,60,60,60,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/zangoose.png
336,Seviper,Poison, ,73,100,60,100,60,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/seviper.png
337,Lunatone,Rock,Psychic,90,55,65,95,85,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/lunatone.png
338,Solrock,Rock,Psychic,90,95,85,55,65,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/solrock.png
339,Barboach,Water,Ground,50,48,43,46,41,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/barboach.png
340,Whiscash,Water,Ground,110,78,73,76,71,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/whiscash.png
341,Corphish,Water, ,43,80,65,50,35,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/corphish.png
342,Crawdaunt,Water,Dark,63,120,85,90,55,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/crawdaunt.png
343,Baltoy,Ground,Psychic,40,40,55,40,70,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/baltoy.png
344,Claydol,Ground,Psychic,60,70,105,70,120,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/claydol.png
345,Lileep,Rock,Grass,66,41,77,61,87,23,https://img.pokemondb.net/sprites/scarlet-violet/icon/lileep.png
346,Cradily,Rock,Grass,86,81,97,81,107,43,https://img.pokemondb.net/sprites/scarlet-violet/icon/cradily.png
347,Anorith,Rock,Bug,45,95,50,40,50,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/anorith.png
348,Armaldo,Rock,Bug,75,125,100,70,80,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/armaldo.png
349,Feebas,Water, ,20,15,20,10,55,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/feebas.png
350,Milotic,Water, ,95,60,79,100,125,81,https://img.pokemondb.net/sprites/scarlet-violet/icon/milotic.png
351,Castform,Normal, ,70,70,70,70,70,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/castform.png
351,Sunny Form,Fire, ,70,70,70,70,70,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/castform-sunny-form.png
351,Rainy Form,Water, ,70,70,70,70,70,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/castform-rainy-form.png
351,Snowy Form,Ice, ,70,70,70,70,70,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/castform-snowy-form.png
352,Kecleon,Normal, ,60,90,70,60,120,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/kecleon.png
353,Shuppet,Ghost, ,44,75,35,63,33,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/shuppet.png
354,Banette,Ghost, ,64,115,65,83,63,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/banette.png
355,Duskull,Ghost, ,20,40,90,30,90,25,https://img.pokemondb.net/sprites/scarlet-violet/icon/duskull.png
356,Dusclops,Ghost, ,40,70,130,60,130,25,https://img.pokemondb.net/sprites/scarlet-violet/icon/dusclops.png
357,Tropius,Grass,Flying,99,68,83,72,87,51,https://img.pokemondb.net/sprites/scarlet-violet/icon/tropius.png
358,Chimecho,Psychic, ,75,50,80,95,90,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/chimecho.png
359,Absol,Dark, ,65,130,60,75,60,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/absol.png
360,Wynaut,Psychic, ,95,23,48,23,48,23,https://img.pokemondb.net/sprites/scarlet-violet/icon/wynaut.png
361,Snorunt,Ice, ,50,50,50,50,50,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/snorunt.png
362,Glalie,Ice, ,80,80,80,80,80,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/glalie.png
363,Spheal,Ice,Water,70,40,50,55,50,25,https://img.pokemondb.net/sprites/scarlet-violet/icon/spheal.png
364,Sealeo,Ice,Water,90,60,70,75,70,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/sealeo.png
365,Walrein,Ice,Water,110,80,90,95,90,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/walrein.png
366,Clamperl,Water, ,35,64,85,74,55,32,https://img.pokemondb.net/sprites/scarlet-violet/icon/clamperl.png
367,Huntail,Water, ,55,104,105,94,75,52,https://img.pokemondb.net/sprites/scarlet-violet/icon/huntail.png
368,Gorebyss,Water, ,55,84,105,114,75,52,https://img.pokemondb.net/sprites/scarlet-violet/icon/gorebyss.png
369,Relicanth,Water,Rock,100,90,130,45,65,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/relicanth.png
370,Luvdisc,Water, ,43,30,55,40,65,97,https://img.pokemondb.net/sprites/scarlet-violet/icon/luvdisc.png
371,Bagon,Dragon, ,45,75,60,40,30,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/bagon.png
372,Shelgon,Dragon, ,65,95,100,60,50,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/shelgon.png
373,Salamence,Dragon,Flying,95,135,80,110,80,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/salamence.png
374,Beldum,Steel,Psychic,40,55,80,35,60,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/beldum.png
375,Metang,Steel,Psychic,60,75,100,55,80,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/metang.png
376,Metagross,Steel,Psychic,80,135,130,95,90,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/metagross.png
377,Regirock,Rock, ,80,100,200,50,100,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/regirock.png
378,Regice,Ice, ,80,50,100,100,200,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/regice.png
379,Registeel,Steel, ,80,75,150,75,150,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/registeel.png
380,Latias,Dragon,Psychic,80,80,90,110,130,110,https://img.pokemondb.net/sprites/scarlet-violet/icon/latias.png
381,Latios,Dragon,Psychic,80,90,80,130,110,110,https://img.pokemondb.net/sprites/scarlet-violet/icon/latios.png
382,Kyogre,Water, ,100,100,90,150,140,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/kyogre.png
383,Groudon,Ground, ,100,150,140,100,90,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/groudon.png
384,Rayquaza,Dragon,Flying,105,150,90,150,90,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/rayquaza.png
385,Jirachi,Steel,Psychic,100,100,100,100,100,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/jirachi.png
386,Normal Forme,Psychic, ,50,150,50,150,50,150,https://img.pokemondb.net/sprites/scarlet-violet/icon/deoxys-normal-forme.png
386,Attack Forme,Psychic, ,50,180,20,180,20,150,https://img.pokemondb.net/sprites/scarlet-violet/icon/deoxys-attack-forme.png
386,Defense Forme,Psychic, ,50,70,160,70,160,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/deoxys-defense-forme.png
386,Speed Forme,Psychic, ,50,95,90,95,90,180,https://img.pokemondb.net/sprites/scarlet-violet/icon/deoxys-speed-forme.png
387,Turtwig,Grass, ,55,68,64,45,55,31,https://img.pokemondb.net/sprites/scarlet-violet/icon/turtwig.png
388,Grotle,Grass, ,75,89,85,55,65,36,https://img.pokemondb.net/sprites/scarlet-violet/icon/grotle.png
389,Torterra,Grass,Ground,95,109,105,75,85,56,https://img.pokemondb.net/sprites/scarlet-violet/icon/torterra.png
390,Chimchar,Fire, ,44,58,44,58,44,61,https://img.pokemondb.net/sprites/scarlet-violet/icon/chimchar.png
391,Monferno,Fire,Fighting,64,78,52,78,52,81,https://img.pokemondb.net/sprites/scarlet-violet/icon/monferno.png
392,Infernape,Fire,Fighting,76,104,71,104,71,108,https://img.pokemondb.net/sprites/scarlet-violet/icon/infernape.png
393,Piplup,Water, ,53,51,53,61,56,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/piplup.png
394,Prinplup,Water, ,64,66,68,81,76,50,https://img.pokemondb.net/sprites/scarlet-violet/icon/prinplup.png
395,Empoleon,Water,Steel,84,86,88,111,101,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/empoleon.png
396,Starly,Normal,Flying,40,55,30,30,30,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/starly.png
397,Staravia,Normal,Flying,55,75,50,40,40,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/staravia.png
398,Staraptor,Normal,Flying,85,120,70,50,60,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/staraptor.png
399,Bidoof,Normal, ,59,45,40,35,40,31,https://img.pokemondb.net/sprites/scarlet-violet/icon/bidoof.png
400,Bibarel,Normal,Water,79,85,60,55,60,71,https://img.pokemondb.net/sprites/scarlet-violet/icon/bibarel.png
401,Kricketot,Bug, ,37,25,41,25,41,25,https://img.pokemondb.net/sprites/scarlet-violet/icon/kricketot.png
402,Kricketune,Bug, ,77,85,51,55,51,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/kricketune.png
403,Shinx,Electric, ,45,65,34,40,34,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/shinx.png
404,Luxio,Electric, ,60,85,49,60,49,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/luxio.png
405,Luxray,Electric, ,80,120,79,95,79,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/luxray.png
406,Budew,Grass,Poison,40,30,35,50,70,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/budew.png
407,Roserade,Grass,Poison,60,70,65,125,105,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/roserade.png
408,Cranidos,Rock, ,67,125,40,30,30,58,https://img.pokemondb.net/sprites/scarlet-violet/icon/cranidos.png
409,Rampardos,Rock, ,97,165,60,65,50,58,https://img.pokemondb.net/sprites/scarlet-violet/icon/rampardos.png
410,Shieldon,Rock,Steel,30,42,118,42,88,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/shieldon.png
411,Bastiodon,Rock,Steel,60,52,168,47,138,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/bastiodon.png
412,Plant Cloak,Bug, ,40,29,45,29,45,36,https://img.pokemondb.net/sprites/scarlet-violet/icon/burmy-plant-cloak.png
412,Sandy Cloak,Bug, ,40,29,45,29,45,36,https://img.pokemondb.net/sprites/scarlet-violet/icon/burmy-sandy-cloak.png
412,Trash Cloak,Bug, ,40,29,45,29,45,36,https://img.pokemondb.net/sprites/scarlet-violet/icon/burmy-trash-cloak.png
413,Plant Cloak,Bug,Grass,60,59,85,79,105,36,https://img.pokemondb.net/sprites/scarlet-violet/icon/wormadam-plant-cloak.png
413,Sandy Cloak,Bug,Ground,60,79,105,59,85,36,https://img.pokemondb.net/sprites/scarlet-violet/icon/wormadam-sandy-cloak.png
413,Trash Cloak,Bug,Steel,60,69,95,69,95,36,https://img.pokemondb.net/sprites/scarlet-violet/icon/wormadam-trash-cloak.png
414,Mothim,Bug,Flying,70,94,50,94,50,66,https://img.pokemondb.net/sprites/scarlet-violet/icon/mothim.png
415,Combee,Bug,Flying,30,30,42,30,42,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/combee.png
416,Vespiquen,Bug,Flying,70,80,102,80,102,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/vespiquen.png
417,Pachirisu,Electric, ,60,45,70,45,90,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/pachirisu.png
418,Buizel,Water, ,55,65,35,60,30,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/buizel.png
419,Floatzel,Water, ,85,105,55,85,50,115,https://img.pokemondb.net/sprites/scarlet-violet/icon/floatzel.png
420,Cherubi,Grass, ,45,35,45,62,53,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/cherubi.png
421,Cherrim,Grass, ,70,60,70,87,78,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/cherrim.png
422,Shellos,Water, ,76,48,48,57,62,34,https://img.pokemondb.net/sprites/scarlet-violet/icon/shellos.png
423,Gastrodon,Water,Ground,111,83,68,92,82,39,https://img.pokemondb.net/sprites/scarlet-violet/icon/gastrodon.png
424,Ambipom,Normal, ,75,100,66,60,66,115,https://img.pokemondb.net/sprites/scarlet-violet/icon/ambipom.png
425,Drifloon,Ghost,Flying,90,50,34,60,44,70,https://img.pokemondb.net/sprites/scarlet-violet/icon/drifloon.png
426,Drifblim,Ghost,Flying,150,80,44,90,54,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/drifblim.png
427,Buneary,Normal, ,55,66,44,44,56,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/buneary.png
428,Lopunny,Normal, ,65,76,84,54,96,105,https://img.pokemondb.net/sprites/scarlet-violet/icon/lopunny.png
429,Mismagius,Ghost, ,60,60,60,105,105,105,https://img.pokemondb.net/sprites/scarlet-violet/icon/mismagius.png
430,Honchkrow,Dark,Flying,100,125,52,105,52,71,https://img.pokemondb.net/sprites/scarlet-violet/icon/honchkrow.png
431,Glameow,Normal, ,49,55,42,42,37,85,https://img.pokemondb.net/sprites/scarlet-violet/icon/glameow.png
432,Purugly,Normal, ,71,82,64,64,59,112,https://img.pokemondb.net/sprites/scarlet-violet/icon/purugly.png
433,Chingling,Psychic, ,45,30,50,65,50,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/chingling.png
434,Stunky,Poison,Dark,63,63,47,41,41,74,https://img.pokemondb.net/sprites/scarlet-violet/icon/stunky.png
435,Skuntank,Poison,Dark,103,93,67,71,61,84,https://img.pokemondb.net/sprites/scarlet-violet/icon/skuntank.png
436,Bronzor,Steel,Psychic,57,24,86,24,86,23,https://img.pokemondb.net/sprites/scarlet-violet/icon/bronzor.png
437,Bronzong,Steel,Psychic,67,89,116,79,116,33,https://img.pokemondb.net/sprites/scarlet-violet/icon/bronzong.png
438,Bonsly,Rock, ,50,80,95,10,45,10,https://img.pokemondb.net/sprites/scarlet-violet/icon/bonsly.png
439,Mime Jr.,Psychic,Fairy,20,25,45,70,90,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/mime-jr.png
440,Happiny,Normal, ,100,5,5,15,65,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/happiny.png
441,Chatot,Normal,Flying,76,65,45,92,42,91,https://img.pokemondb.net/sprites/scarlet-violet/icon/chatot.png
442,Spiritomb,Ghost,Dark,50,92,108,92,108,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/spiritomb.png
443,Gible,Dragon,Ground,58,70,45,40,45,42,https://img.pokemondb.net/sprites/scarlet-violet/icon/gible.png
444,Gabite,Dragon,Ground,68,90,65,50,55,82,https://img.pokemondb.net/sprites/scarlet-violet/icon/gabite.png
445,Garchomp,Dragon,Ground,108,130,95,80,85,102,https://img.pokemondb.net/sprites/scarlet-violet/icon/garchomp.png
446,Munchlax,Normal, ,135,85,40,40,85,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/munchlax.png
447,Riolu,Fighting, ,40,70,40,35,40,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/riolu.png
448,Lucario,Fighting,Steel,70,110,70,115,70,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/lucario.png
449,Hippopotas,Ground, ,68,72,78,38,42,32,https://img.pokemondb.net/sprites/scarlet-violet/icon/hippopotas.png
450,Hippowdon,Ground, ,108,112,118,68,72,47,https://img.pokemondb.net/sprites/scarlet-violet/icon/hippowdon.png
