canonical_slug,display_name,dexnum_int,official_artwork_url,artwork_variant_url,sprite_url,image_url,official_pokedex_url,official_reference_scope,validated_at,official_artwork_http_status,validation_status,mismatch_fields,validation_notes
beautifly,Beautifly,267,https://assets.pokemon.com/assets/cms2/img/pokedex/full/267.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/267.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/267.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/267.png,https://www.pokemon.com/us/pokedex/beautifly,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
cascoon,Cascoon,268,https://assets.pokemon.com/assets/cms2/img/pokedex/full/268.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/268.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/268.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/268.png,https://www.pokemon.com/us/pokedex/cascoon,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
dustox,Dustox,269,https://assets.pokemon.com/assets/cms2/img/pokedex/full/269.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/269.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/269.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/269.png,https://www.pokemon.com/us/pokedex/dustox,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
lotad,Lotad,270,https://assets.pokemon.com/assets/cms2/img/pokedex/full/270.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/270.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/270.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/270.png,https://www.pokemon.com/us/pokedex/lotad,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
lombre,Lombre,271,https://assets.pokemon.com/assets/cms2/img/pokedex/full/271.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/271.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/271.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/271.png,https://www.pokemon.com/us/pokedex/lombre,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
ludicolo,Ludicolo,272,https://assets.pokemon.com/assets/cms2/img/pokedex/full/272.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/272.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/272.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/272.png,https://www.pokemon.com/us/pokedex/ludicolo,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
seedot,Seedot,273,https://assets.pokemon.com/assets/cms2/img/pokedex/full/273.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/273.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/273.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/273.png,https://www.pokemon.com/us/pokedex/seedot,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
nuzleaf,Nuzleaf,274,https://assets.pokemon.com/assets/cms2/img/pokedex/full/274.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/274.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/274.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/274.png,https://www.pokemon.com/us/pokedex/nuzleaf,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
shiftry,Shiftry,275,https://assets.pokemon.com/assets/cms2/img/pokedex/full/275.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/275.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/275.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/275.png,https://www.pokemon.com/us/pokedex/shiftry,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
taillow,Taillow,276,https://assets.pokemon.com/assets/cms2/img/pokedex/full/276.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/276.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/276.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/276.png,https://www.pokemon.com/us/pokedex/taillow,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
swellow,Swellow,277,https://assets.pokemon.com/assets/cms2/img/pokedex/full/277.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/277.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/277.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/277.png,https://www.pokemon.com/us/pokedex/swellow,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
wingull,Wingull,278,https://assets.pokemon.com/assets/cms2/img/pokedex/full/278.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/278.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/278.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/278.png,https://www.pokemon.com/us/pokedex/wingull,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
pelipper,Pelipper,279,https://assets.pokemon.com/assets/cms2/img/pokedex/full/279.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/279.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/279.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/279.png,https://www.pokemon.com/us/pokedex/pelipper,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
ralts,Ralts,280,https://assets.pokemon.com/assets/cms2/img/pokedex/full/280.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/280.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/280.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/280.png,https://www.pokemon.com/us/pokedex/ralts,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
kirlia,Kirlia,281,https://assets.pokemon.com/assets/cms2/img/pokedex/full/281.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/281.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/281.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/281.png,https://www.pokemon.com/us/pokedex/kirlia,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
gardevoir,Gardevoir,282,https://assets.pokemon.com/assets/cms2/img/pokedex/full/282.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/282.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/282.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/282.png,https://www.pokemon.com/us/pokedex/gardevoir,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
gardevoir-mega,Gardevoir maleega,282,https://assets.pokemon.com/assets/cms2/img/pokedex/full/282.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10051.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/10051.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10051.png,https://www.pokemon.com/us/pokedex/gardevoir,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
surskit,Surskit,283,https://assets.pokemon.com/assets/cms2/img/pokedex/full/283.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/283.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/283.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/283.png,https://www.pokemon.com/us/pokedex/surskit,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
masquerain,Masquerain,284,https://assets.pokemon.com/assets/cms2/img/pokedex/full/284.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/284.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/284.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/284.png,https://www.pokemon.com/us/pokedex/masquerain,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
shroomish,Shroomish,285,https://assets.pokemon.com/assets/cms2/img/pokedex/full/285.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/285.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/285.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/285.png,https://www.pokemon.com/us/pokedex/shroomish,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
breloom,Breloom,286,https://assets.pokemon.com/assets/cms2/img/pokedex/full/286.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/286.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/286.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/286.png,https://www.pokemon.com/us/pokedex/breloom,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
slakoth,Slakoth,287,https://assets.pokemon.com/assets/cms2/img/pokedex/full/287.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/287.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/287.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/287.png,https://www.pokemon.com/us/pokedex/slakoth,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
vigoroth,Vigoroth,288,https://assets.pokemon.com/assets/cms2/img/pokedex/full/288.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/288.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/288.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/288.png,https://www.pokemon.com/us/pokedex/vigoroth,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
slaking,Slaking,289,https://assets.pokemon.com/assets/cms2/img/pokedex/full/289.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/289.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/289.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/289.png,https://www.pokemon.com/us/pokedex/slaking,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
nincada,Nincada,290,https://assets.pokemon.com/assets/cms2/img/pokedex/full/290.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/290.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/290.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/290.png,https://www.pokemon.com/us/pokedex/nincada,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
ninjask,Ninjask,291,https://assets.pokemon.com/assets/cms2/img/pokedex/full/291.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/291.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/291.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/291.png,https://www.pokemon.com/us/pokedex/ninjask,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
shedinja,Shedinja,292,https://assets.pokemon.com/assets/cms2/img/pokedex/full/292.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/292.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/292.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/292.png,https://www.pokemon.com/us/pokedex/shedinja,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
whismur,Whismur,293,https://assets.pokemon.com/assets/cms2/img/pokedex/full/293.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/293.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/293.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/293.png,https://www.pokemon.com/us/pokedex/whismur,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
loudred,Loudred,294,https://assets.pokemon.com/assets/cms2/img/pokedex/full/294.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/294.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/294.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/294.png,https://www.pokemon.com/us/pokedex/loudred,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
exploud,Exploud,295,https://assets.pokemon.com/assets/cms2/img/pokedex/full/295.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/295.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/295.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/295.png,https://www.pokemon.com/us/pokedex/exploud,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
makuhita,Makuhita,296,https://assets.pokemon.com/assets/cms2/img/pokedex/full/296.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/296.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/296.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/296.png,https://www.pokemon.com/us/pokedex/makuhita,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
hariyama,Hariyama,297,https://assets.pokemon.com/assets/cms2/img/pokedex/full/297.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/297.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/297.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/297.png,https://www.pokemon.com/us/pokedex/hariyama,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
azurill,Azurill,298,https://assets.pokemon.com/assets/cms2/img/pokedex/full/298.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/298.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/298.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/298.png,https://www.pokemon.com/us/pokedex/azurill,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
nosepass,Nosepass,299,https://assets.pokemon.com/assets/cms2/img/pokedex/full/299.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/299.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/299.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/299.png,https://www.pokemon.com/us/pokedex/nosepass,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
skitty,Skitty,300,https://assets.pokemon.com/assets/cms2/img/pokedex/full/300.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/300.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/300.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/300.png,https://www.pokemon.com/us/pokedex/skitty,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
delcatty,Delcatty,301,https://assets.pokemon.com/assets/cms2/img/pokedex/full/301.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/301.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/301.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/301.png,https://www.pokemon.com/us/pokedex/delcatty,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
sableye,Sableye,302,https://assets.pokemon.com/assets/cms2/img/pokedex/full/302.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/302.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/302.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/302.png,https://www.pokemon.com/us/pokedex/sableye,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
sableye-mega,Sableye maleega,302,https://assets.pokemon.com/assets/cms2/img/pokedex/full/302.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10066.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/10066.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10066.png,https://www.pokemon.com/us/pokedex/sableye,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
mawile,Mawile,303,https://assets.pokemon.com/assets/cms2/img/pokedex/full/303.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/303.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/303.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/303.png,https://www.pokemon.com/us/pokedex/mawile,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
mawile-mega,Mawile maleega,303,https://assets.pokemon.com/assets/cms2/img/pokedex/full/303.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10052.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/10052.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10052.png,https://www.pokemon.com/us/pokedex/mawile,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
aron,Aron,304,https://assets.pokemon.com/assets/cms2/img/pokedex/full/304.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/304.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/304.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/304.png,https://www.pokemon.com/us/pokedex/aron,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
lairon,Lairon,305,https://assets.pokemon.com/assets/cms2/img/pokedex/full/305.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/305.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/305.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/305.png,https://www.pokemon.com/us/pokedex/lairon,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
aggron,Aggron,306,https://assets.pokemon.com/assets/cms2/img/pokedex/full/306.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/306.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/306.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/306.png,https://www.pokemon.com/us/pokedex/aggron,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
aggron-mega,Aggron maleega,306,https://assets.pokemon.com/assets/cms2/img/pokedex/full/306.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10053.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/10053.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10053.png,https://www.pokemon.com/us/pokedex/aggron,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
meditite,Meditite,307,https://assets.pokemon.com/assets/cms2/img/pokedex/full/307.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/307.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/307.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/307.png,https://www.pokemon.com/us/pokedex/meditite,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
medicham,Medicham,308,https://assets.pokemon.com/assets/cms2/img/pokedex/full/308.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/308.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/308.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/308.png,https://www.pokemon.com/us/pokedex/medicham,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
medicham-mega,Medicham maleega,308,https://assets.pokemon.com/assets/cms2/img/pokedex/full/308.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10054.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/10054.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10054.png,https://www.pokemon.com/us/pokedex/medicham,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
electrike,Electrike,309,https://assets.pokemon.com/assets/cms2/img/pokedex/full/309.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/309.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/309.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/309.png,https://www.pokemon.com/us/pokedex/electrike,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
manectric,Manectric,310,https://assets.pokemon.com/assets/cms2/img/pokedex/full/310.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/310.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/310.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/310.png,https://www.pokemon.com/us/pokedex/manectric,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
manectric-mega,Manectric maleega,310,https://assets.pokemon.com/assets/cms2/img/pokedex/full/310.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10055.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/10055.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10055.png,https://www.pokemon.com/us/pokedex/manectric,species-page,2026-04-13T11:45:21.940891-07:00,200,official_media_verified_link_generated,,pokemon.com page content is bot-protected; official page URL is attached for manual verification.
