species_slug,species_display_name,dexnum_int,generation,gender_rate,capture_rate,base_happiness,hatch_counter,is_baby,is_legendary,is_mythical,color,shape,habitat,generation_name,growth_rate,egg_group1,egg_group2,percent_male,percent_female,evolution_chain_id,genus_en
crobat,Crobat,169,2,4,90,70,15,0,0,0,Purple,Bug Wings,Cave,generation-ii,Medium,Flying,Unknown,50.0,50.0,17,Bat Pokémon
chinchou,Chinchou,170,2,4,190,70,20,0,0,0,Blue,Fish,Sea,generation-ii,Slow,Water2,Unknown,50.0,50.0,86,Angler Pokémon
lanturn,Lanturn,171,2,4,75,70,20,0,0,0,Blue,Fish,Sea,generation-ii,Slow,Water2,Unknown,50.0,50.0,86,Light Pokémon
pichu,Pichu,172,2,4,190,70,10,1,0,0,Yellow,Quadruped,Forest,generation-ii,Medium,No Eggs,Unknown,50.0,50.0,10,Tiny Mouse Pokémon
cleffa,Cleffa,173,2,6,150,140,10,1,0,0,Pink,Upright,Mountain,generation-ii,Fast,No Eggs,Unknown,25.0,75.0,14,Star Shape Pokémon
igglybuff,Igglybuff,174,2,6,170,70,10,1,0,0,Pink,Humanoid,Grassland,generation-ii,Fast,No Eggs,Unknown,25.0,75.0,16,Balloon Pokémon
togepi,Togepi,175,2,1,190,70,10,1,0,0,White,Humanoid,Forest,generation-ii,Fast,No Eggs,Unknown,87.5,12.5,87,Spike Ball Pokémon
togetic,Togetic,176,2,1,75,70,10,0,0,0,White,Humanoid,Forest,generation-ii,Fast,Flying,Fairy,87.5,12.5,87,Happiness Pokémon
natu,Natu,177,2,4,190,70,20,0,0,0,Green,Wings,Forest,generation-ii,Medium,Flying,Unknown,50.0,50.0,88,Tiny Bird Pokémon
xatu,Xatu,178,2,4,75,70,20,0,0,0,Green,Wings,Forest,generation-ii,Medium,Flying,Unknown,50.0,50.0,88,Mystic Pokémon
mareep,Mareep,179,2,4,235,70,20,0,0,0,White,Quadruped,Grassland,generation-ii,Medium Slow,Monster,Ground,50.0,50.0,89,Wool Pokémon
flaaffy,Flaaffy,180,2,4,120,70,20,0,0,0,Pink,Upright,Grassland,generation-ii,Medium Slow,Monster,Ground,50.0,50.0,89,Wool Pokémon
ampharos,Ampharos,181,2,4,45,70,20,0,0,0,Yellow,Upright,Grassland,generation-ii,Medium Slow,Monster,Ground,50.0,50.0,89,Light Pokémon
bellossom,Bellossom,182,2,4,45,70,20,0,0,0,Green,Humanoid,Grassland,generation-ii,Medium Slow,Plant,Unknown,50.0,50.0,18,Flower Pokémon
marill,Marill,183,2,4,190,70,10,0,0,0,Blue,Upright,Waters Edge,generation-ii,Fast,Water1,Fairy,50.0,50.0,90,Aqua Mouse Pokémon
azumarill,Azumarill,184,2,4,75,70,10,0,0,0,Blue,Upright,Waters Edge,generation-ii,Fast,Water1,Fairy,50.0,50.0,90,Aqua Rabbit Pokémon
sudowoodo,Sudowoodo,185,2,4,65,70,20,0,0,0,Brown,Humanoid,Forest,generation-ii,Medium,Mineral,Unknown,50.0,50.0,91,Imitation Pokémon
politoed,Politoed,186,2,4,45,70,20,0,0,0,Green,Humanoid,Waters Edge,generation-ii,Medium Slow,Water1,Unknown,50.0,50.0,26,Frog Pokémon
hoppip,Hoppip,187,2,4,255,70,20,0,0,0,Pink,Upright,Grassland,generation-ii,Medium Slow,Fairy,Plant,50.0,50.0,92,Cottonweed Pokémon
skiploom,Skiploom,188,2,4,120,70,20,0,0,0,Green,Upright,Grassland,generation-ii,Medium Slow,Fairy,Plant,50.0,50.0,92,Cottonweed Pokémon
jumpluff,Jumpluff,189,2,4,45,70,20,0,0,0,Blue,Upright,Grassland,generation-ii,Medium Slow,Fairy,Plant,50.0,50.0,92,Cottonweed Pokémon
aipom,Aipom,190,2,4,45,70,20,0,0,0,Purple,Upright,Forest,generation-ii,Fast,Ground,Unknown,50.0,50.0,93,Long Tail Pokémon
sunkern,Sunkern,191,2,4,235,70,20,0,0,0,Yellow,Ball,Grassland,generation-ii,Medium Slow,Plant,Unknown,50.0,50.0,94,Seed Pokémon
sunflora,Sunflora,192,2,4,120,70,20,0,0,0,Yellow,Humanoid,Grassland,generation-ii,Medium Slow,Plant,Unknown,50.0,50.0,94,Sun Pokémon
yanma,Yanma,193,2,4,75,70,20,0,0,0,Red,Bug Wings,Forest,generation-ii,Medium,Bug,Unknown,50.0,50.0,95,Clear Wing Pokémon
wooper,Wooper,194,2,4,255,70,20,0,0,0,Blue,Legs,Waters Edge,generation-ii,Medium,Water1,Ground,50.0,50.0,96,Water Fish Pokémon
quagsire,Quagsire,195,2,4,90,70,20,0,0,0,Blue,Upright,Waters Edge,generation-ii,Medium,Water1,Ground,50.0,50.0,96,Water Fish Pokémon
espeon,Espeon,196,2,1,45,70,35,0,0,0,Purple,Quadruped,Urban,generation-ii,Medium,Ground,Unknown,87.5,12.5,67,Sun Pokémon
umbreon,Umbreon,197,2,1,45,35,35,0,0,0,Black,Quadruped,Urban,generation-ii,Medium,Ground,Unknown,87.5,12.5,67,Moonlight Pokémon
murkrow,Murkrow,198,2,4,30,35,20,0,0,0,Black,Wings,Forest,generation-ii,Medium Slow,Flying,Unknown,50.0,50.0,97,Darkness Pokémon
slowking,Slowking,199,2,4,70,70,20,0,0,0,Pink,Upright,Waters Edge,generation-ii,Medium,Monster,Water1,50.0,50.0,33,Royal Pokémon
misdreavus,Misdreavus,200,2,4,45,35,25,0,0,0,Gray,Ball,Cave,generation-ii,Fast,Indeterminate,Unknown,50.0,50.0,98,Screech Pokémon
unown,Unown,201,2,-1,225,70,40,0,0,0,Black,Ball,Rare,generation-ii,Medium,No Eggs,Unknown,,,99,Symbol Pokémon
wobbuffet,Wobbuffet,202,2,4,45,70,20,0,0,0,Blue,Blob,Cave,generation-ii,Medium,Indeterminate,Unknown,50.0,50.0,100,Patient Pokémon
girafarig,Girafarig,203,2,4,60,70,20,0,0,0,Yellow,Quadruped,Grassland,generation-ii,Medium,Ground,Unknown,50.0,50.0,101,Long Neck Pokémon
pineco,Pineco,204,2,4,190,70,20,0,0,0,Gray,Ball,Forest,generation-ii,Medium,Bug,Unknown,50.0,50.0,102,Bagworm Pokémon
forretress,Forretress,205,2,4,75,70,20,0,0,0,Purple,Ball,Forest,generation-ii,Medium,Bug,Unknown,50.0,50.0,102,Bagworm Pokémon
dunsparce,Dunsparce,206,2,4,190,70,20,0,0,0,Yellow,Squiggle,Cave,generation-ii,Medium,Ground,Unknown,50.0,50.0,103,Land Snake Pokémon
gligar,Gligar,207,2,4,60,70,20,0,0,0,Purple,Wings,Mountain,generation-ii,Medium Slow,Bug,Unknown,50.0,50.0,104,Fly Scorpion Pokémon
steelix,Steelix,208,2,4,25,70,25,0,0,0,Gray,Squiggle,Cave,generation-ii,Medium,Mineral,Unknown,50.0,50.0,41,Iron Snake Pokémon
snubbull,Snubbull,209,2,6,190,70,20,0,0,0,Pink,Humanoid,Urban,generation-ii,Fast,Ground,Fairy,25.0,75.0,105,Fairy Pokémon
granbull,Granbull,210,2,6,75,70,20,0,0,0,Purple,Upright,Urban,generation-ii,Fast,Ground,Fairy,25.0,75.0,105,Fairy Pokémon
qwilfish,Qwilfish,211,2,4,45,70,20,0,0,0,Gray,Fish,Sea,generation-ii,Medium,Water2,Unknown,50.0,50.0,106,Balloon Pokémon
scizor,Scizor,212,2,4,25,70,25,0,0,0,Red,Bug Wings,Grassland,generation-ii,Medium,Bug,Unknown,50.0,50.0,58,Pincer Pokémon
shuckle,Shuckle,213,2,4,190,70,20,0,0,0,Yellow,Armor,Mountain,generation-ii,Medium Slow,Bug,Unknown,50.0,50.0,107,Mold Pokémon
heracross,Heracross,214,2,4,45,70,25,0,0,0,Blue,Humanoid,Forest,generation-ii,Slow,Bug,Unknown,50.0,50.0,108,Single Horn Pokémon
sneasel,Sneasel,215,2,4,60,35,20,0,0,0,Black,Upright,Forest,generation-ii,Medium Slow,Ground,Unknown,50.0,50.0,109,Sharp Claw Pokémon
teddiursa,Teddiursa,216,2,4,120,70,20,0,0,0,Brown,Upright,Mountain,generation-ii,Medium,Ground,Unknown,50.0,50.0,110,Little Bear Pokémon
ursaring,Ursaring,217,2,4,60,70,20,0,0,0,Brown,Upright,Mountain,generation-ii,Medium,Ground,Unknown,50.0,50.0,110,Hibernator Pokémon
slugma,Slugma,218,2,4,190,70,20,0,0,0,Red,Squiggle,Mountain,generation-ii,Medium,Indeterminate,Unknown,50.0,50.0,111,Lava Pokémon
magcargo,Magcargo,219,2,4,75,70,20,0,0,0,Red,Squiggle,Mountain,generation-ii,Medium,Indeterminate,Unknown,50.0,50.0,111,Lava Pokémon
swinub,Swinub,220,2,4,225,70,20,0,0,0,Brown,Quadruped,Cave,generation-ii,Slow,Ground,Unknown,50.0,50.0,112,Pig Pokémon
piloswine,Piloswine,221,2,4,75,70,20,0,0,0,Brown,Quadruped,Cave,generation-ii,Slow,Ground,Unknown,50.0,50.0,112,Swine Pokémon
corsola,Corsola,222,2,6,60,70,20,0,0,0,Pink,Armor,Sea,generation-ii,Fast,Water1,Water3,25.0,75.0,113,Coral Pokémon
remoraid,Remoraid,223,2,4,190,70,20,0,0,0,Gray,Fish,Sea,generation-ii,Medium,Water1,Water2,50.0,50.0,114,Jet Pokémon
octillery,Octillery,224,2,4,75,70,20,0,0,0,Red,Tentacles,Sea,generation-ii,Medium,Water1,Water2,50.0,50.0,114,Jet Pokémon
delibird,Delibird,225,2,4,45,70,20,0,0,0,Red,Wings,Mountain,generation-ii,Fast,Water1,Ground,50.0,50.0,115,Delivery Pokémon
mantine,Mantine,226,2,4,25,70,25,0,0,0,Purple,Wings,Sea,generation-ii,Slow,Water1,Unknown,50.0,50.0,116,Kite Pokémon
skarmory,Skarmory,227,2,4,25,70,25,0,0,0,Gray,Wings,Rough Terrain,generation-ii,Slow,Flying,Unknown,50.0,50.0,117,Armor Bird Pokémon
houndour,Houndour,228,2,4,120,35,20,0,0,0,Black,Quadruped,Rough Terrain,generation-ii,Slow,Ground,Unknown,50.0,50.0,118,Dark Pokémon
houndoom,Houndoom,229,2,4,45,35,20,0,0,0,Black,Quadruped,Rough Terrain,generation-ii,Slow,Ground,Unknown,50.0,50.0,118,Dark Pokémon
kingdra,Kingdra,230,2,4,45,70,20,0,0,0,Blue,Blob,Sea,generation-ii,Medium,Water1,Dragon,50.0,50.0,54,Dragon Pokémon
phanpy,Phanpy,231,2,4,120,70,20,0,0,0,Blue,Quadruped,Rough Terrain,generation-ii,Medium,Ground,Unknown,50.0,50.0,119,Long Nose Pokémon
donphan,Donphan,232,2,4,60,70,20,0,0,0,Gray,Quadruped,Rough Terrain,generation-ii,Medium,Ground,Unknown,50.0,50.0,119,Armor Pokémon
porygon2,Porygon2,233,2,-1,45,70,20,0,0,0,Red,Legs,Urban,generation-ii,Medium,Mineral,Unknown,,,68,Virtual Pokémon
stantler,Stantler,234,2,4,45,70,20,0,0,0,Brown,Quadruped,Forest,generation-ii,Slow,Ground,Unknown,50.0,50.0,120,Big Horn Pokémon
smeargle,Smeargle,235,2,4,45,70,20,0,0,0,White,Upright,Urban,generation-ii,Fast,Ground,Unknown,50.0,50.0,121,Painter Pokémon
tyrogue,Tyrogue,236,2,0,75,70,25,1,0,0,Purple,Humanoid,Urban,generation-ii,Medium,No Eggs,Unknown,100.0,0.0,47,Scuffle Pokémon
hitmontop,Hitmontop,237,2,0,45,70,25,0,0,0,Brown,Upright,Urban,generation-ii,Medium,Humanshape,Unknown,100.0,0.0,47,Handstand Pokémon
smoochum,Smoochum,238,2,8,45,70,25,1,0,0,Pink,Humanoid,Urban,generation-ii,Medium,No Eggs,Unknown,0.0,100.0,59,Kiss Pokémon
elekid,Elekid,239,2,2,45,70,25,1,0,0,Yellow,Humanoid,Grassland,generation-ii,Medium,No Eggs,Unknown,75.0,25.0,60,Electric Pokémon
magby,Magby,240,2,2,45,70,25,1,0,0,Red,Upright,Mountain,generation-ii,Medium,No Eggs,Unknown,75.0,25.0,61,Live Coal Pokémon
miltank,Miltank,241,2,8,45,70,20,0,0,0,Pink,Upright,Grassland,generation-ii,Slow,Ground,Unknown,0.0,100.0,122,Milk Cow Pokémon
blissey,Blissey,242,2,8,30,140,40,0,0,0,Pink,Humanoid,Urban,generation-ii,Fast,Fairy,Unknown,0.0,100.0,51,Happiness Pokémon
raikou,Raikou,243,2,-1,3,35,80,0,1,0,Yellow,Quadruped,Grassland,generation-ii,Slow,No Eggs,Unknown,,,123,Thunder Pokémon
entei,Entei,244,2,-1,3,35,80,0,1,0,Brown,Quadruped,Grassland,generation-ii,Slow,No Eggs,Unknown,,,124,Volcano Pokémon
suicune,Suicune,245,2,-1,3,35,80,0,1,0,Blue,Quadruped,Grassland,generation-ii,Slow,No Eggs,Unknown,,,125,Aurora Pokémon
larvitar,Larvitar,246,2,4,45,35,40,0,0,0,Green,Upright,Mountain,generation-ii,Slow,Monster,Unknown,50.0,50.0,126,Rock Skin Pokémon
pupitar,Pupitar,247,2,4,45,35,40,0,0,0,Gray,Squiggle,Mountain,generation-ii,Slow,Monster,Unknown,50.0,50.0,126,Hard Shell Pokémon
tyranitar,Tyranitar,248,2,4,45,35,40,0,0,0,Green,Upright,Mountain,generation-ii,Slow,Monster,Unknown,50.0,50.0,126,Armor Pokémon
lugia,Lugia,249,2,-1,3,0,120,0,1,0,White,Wings,Rare,generation-ii,Slow,No Eggs,Unknown,,,127,Diving Pokémon
ho-oh,Ho-Oh,250,2,-1,3,0,120,0,1,0,Red,Wings,Rare,generation-ii,Slow,No Eggs,Unknown,,,128,Rainbow Pokémon
celebi,Celebi,251,2,-1,45,100,120,0,0,1,Green,Humanoid,Forest,generation-ii,Medium Slow,No Eggs,Unknown,,,129,Time Travel Pokémon
treecko,Treecko,252,3,1,45,70,20,0,0,0,Green,Upright,Forest,generation-iii,Medium Slow,Monster,Dragon,87.5,12.5,130,Wood Gecko Pokémon
grovyle,Grovyle,253,3,1,45,70,20,0,0,0,Green,Upright,Forest,generation-iii,Medium Slow,Monster,Dragon,87.5,12.5,130,Wood Gecko Pokémon
sceptile,Sceptile,254,3,1,45,70,20,0,0,0,Green,Upright,Forest,generation-iii,Medium Slow,Monster,Dragon,87.5,12.5,130,Forest Pokémon
torchic,Torchic,255,3,1,45,70,20,0,0,0,Red,Legs,Grassland,generation-iii,Medium Slow,Ground,Unknown,87.5,12.5,131,Chick Pokémon
combusken,Combusken,256,3,1,45,70,20,0,0,0,Red,Upright,Grassland,generation-iii,Medium Slow,Ground,Unknown,87.5,12.5,131,Young Fowl Pokémon
blaziken,Blaziken,257,3,1,45,70,20,0,0,0,Red,Upright,Grassland,generation-iii,Medium Slow,Ground,Unknown,87.5,12.5,131,Blaze Pokémon
mudkip,Mudkip,258,3,1,45,70,20,0,0,0,Blue,Quadruped,Waters Edge,generation-iii,Medium Slow,Monster,Water1,87.5,12.5,132,Mud Fish Pokémon
marshtomp,Marshtomp,259,3,1,45,70,20,0,0,0,Blue,Upright,Waters Edge,generation-iii,Medium Slow,Monster,Water1,87.5,12.5,132,Mud Fish Pokémon
swampert,Swampert,260,3,1,45,70,20,0,0,0,Blue,Upright,Waters Edge,generation-iii,Medium Slow,Monster,Water1,87.5,12.5,132,Mud Fish Pokémon
poochyena,Poochyena,261,3,4,255,70,15,0,0,0,Gray,Quadruped,Grassland,generation-iii,Medium,Ground,Unknown,50.0,50.0,133,Bite Pokémon
mightyena,Mightyena,262,3,4,127,70,15,0,0,0,Gray,Quadruped,Grassland,generation-iii,Medium,Ground,Unknown,50.0,50.0,133,Bite Pokémon
zigzagoon,Zigzagoon,263,3,4,255,70,15,0,0,0,Brown,Quadruped,Grassland,generation-iii,Medium,Ground,Unknown,50.0,50.0,134,Tiny Raccoon Pokémon
linoone,Linoone,264,3,4,90,70,15,0,0,0,White,Quadruped,Grassland,generation-iii,Medium,Ground,Unknown,50.0,50.0,134,Rushing Pokémon
wurmple,Wurmple,265,3,4,255,70,15,0,0,0,Red,Armor,Forest,generation-iii,Medium,Bug,Unknown,50.0,50.0,135,Worm Pokémon
silcoon,Silcoon,266,3,4,120,70,15,0,0,0,White,Ball,Forest,generation-iii,Medium,Bug,Unknown,50.0,50.0,135,Cocoon Pokémon
beautifly,Beautifly,267,3,4,45,70,15,0,0,0,Yellow,Bug Wings,Forest,generation-iii,Medium,Bug,Unknown,50.0,50.0,135,Butterfly Pokémon
cascoon,Cascoon,268,3,4,120,70,15,0,0,0,Purple,Ball,Forest,generation-iii,Medium,Bug,Unknown,50.0,50.0,135,Cocoon Pokémon
dustox,Dustox,269,3,4,45,70,15,0,0,0,Green,Bug Wings,Forest,generation-iii,Medium,Bug,Unknown,50.0,50.0,135,Poison Moth Pokémon
lotad,Lotad,270,3,4,255,70,15,0,0,0,Green,Armor,Waters Edge,generation-iii,Medium Slow,Water1,Plant,50.0,50.0,136,Water Weed Pokémon
lombre,Lombre,271,3,4,120,70,15,0,0,0,Green,Humanoid,Waters Edge,generation-iii,Medium Slow,Water1,Plant,50.0,50.0,136,Jolly Pokémon
ludicolo,Ludicolo,272,3,4,45,70,15,0,0,0,Green,Humanoid,Waters Edge,generation-iii,Medium Slow,Water1,Plant,50.0,50.0,136,Carefree Pokémon
seedot,Seedot,273,3,4,255,70,15,0,0,0,Brown,Legs,Forest,generation-iii,Medium Slow,Ground,Plant,50.0,50.0,137,Acorn Pokémon
nuzleaf,Nuzleaf,274,3,4,120,70,15,0,0,0,Brown,Humanoid,Forest,generation-iii,Medium Slow,Ground,Plant,50.0,50.0,137,Wily Pokémon
shiftry,Shiftry,275,3,4,45,70,15,0,0,0,Brown,Humanoid,Forest,generation-iii,Medium Slow,Ground,Plant,50.0,50.0,137,Wicked Pokémon
taillow,Taillow,276,3,4,200,70,15,0,0,0,Blue,Wings,Grassland,generation-iii,Medium Slow,Flying,Unknown,50.0,50.0,138,Tiny Swallow Pokémon
swellow,Swellow,277,3,4,45,70,15,0,0,0,Blue,Wings,Grassland,generation-iii,Medium Slow,Flying,Unknown,50.0,50.0,138,Swallow Pokémon
wingull,Wingull,278,3,4,190,70,20,0,0,0,White,Wings,Sea,generation-iii,Medium,Water1,Flying,50.0,50.0,139,Seagull Pokémon
pelipper,Pelipper,279,3,4,45,70,20,0,0,0,Yellow,Wings,Sea,generation-iii,Medium,Water1,Flying,50.0,50.0,139,Water Bird Pokémon
ralts,Ralts,280,3,4,235,35,20,0,0,0,White,Humanoid,Urban,generation-iii,Slow,Humanshape,Indeterminate,50.0,50.0,140,Feeling Pokémon
kirlia,Kirlia,281,3,4,120,35,20,0,0,0,White,Humanoid,Urban,generation-iii,Slow,Humanshape,Indeterminate,50.0,50.0,140,Emotion Pokémon
gardevoir,Gardevoir,282,3,4,45,35,20,0,0,0,White,Humanoid,Urban,generation-iii,Slow,Humanshape,Indeterminate,50.0,50.0,140,Embrace Pokémon
surskit,Surskit,283,3,4,200,70,15,0,0,0,Blue,Armor,Waters Edge,generation-iii,Medium,Water1,Bug,50.0,50.0,141,Pond Skater Pokémon
masquerain,Masquerain,284,3,4,75,70,15,0,0,0,Blue,Bug Wings,Waters Edge,generation-iii,Medium,Water1,Bug,50.0,50.0,141,Eyeball Pokémon
shroomish,Shroomish,285,3,4,255,70,15,0,0,0,Brown,Legs,Forest,generation-iii,Fast Then Very Slow,Fairy,Plant,50.0,50.0,142,Mushroom Pokémon
breloom,Breloom,286,3,4,90,70,15,0,0,0,Green,Upright,Forest,generation-iii,Fast Then Very Slow,Fairy,Plant,50.0,50.0,142,Mushroom Pokémon
slakoth,Slakoth,287,3,4,255,70,15,0,0,0,Brown,Quadruped,Forest,generation-iii,Slow,Ground,Unknown,50.0,50.0,143,Slacker Pokémon
vigoroth,Vigoroth,288,3,4,120,70,15,0,0,0,White,Upright,Forest,generation-iii,Slow,Ground,Unknown,50.0,50.0,143,Wild Monkey Pokémon
slaking,Slaking,289,3,4,45,70,15,0,0,0,Brown,Humanoid,Forest,generation-iii,Slow,Ground,Unknown,50.0,50.0,143,Lazy Pokémon
nincada,Nincada,290,3,4,255,70,15,0,0,0,Gray,Armor,Forest,generation-iii,Slow Then Very femaleast,Bug,Unknown,50.0,50.0,144,Trainee Pokémon
ninjask,Ninjask,291,3,4,120,70,15,0,0,0,Yellow,Bug Wings,Forest,generation-iii,Slow Then Very femaleast,Bug,Unknown,50.0,50.0,144,Ninja Pokémon
shedinja,Shedinja,292,3,-1,45,70,15,0,0,0,Brown,Blob,Forest,generation-iii,Slow Then Very femaleast,Mineral,Unknown,,,144,Shed Pokémon
whismur,Whismur,293,3,4,190,70,20,0,0,0,Pink,Upright,Cave,generation-iii,Medium Slow,Monster,Ground,50.0,50.0,145,Whisper Pokémon
loudred,Loudred,294,3,4,120,70,20,0,0,0,Blue,Upright,Cave,generation-iii,Medium Slow,Monster,Ground,50.0,50.0,145,Big Voice Pokémon
exploud,Exploud,295,3,4,45,70,20,0,0,0,Blue,Upright,Cave,generation-iii,Medium Slow,Monster,Ground,50.0,50.0,145,Loud Noise Pokémon
makuhita,Makuhita,296,3,2,180,70,20,0,0,0,Yellow,Humanoid,Mountain,generation-iii,Fast Then Very Slow,Humanshape,Unknown,75.0,25.0,146,Guts Pokémon
hariyama,Hariyama,297,3,2,200,70,20,0,0,0,Brown,Humanoid,Mountain,generation-iii,Fast Then Very Slow,Humanshape,Unknown,75.0,25.0,146,Arm Thrust Pokémon
azurill,Azurill,298,3,6,150,70,10,1,0,0,Blue,Legs,Waters Edge,generation-iii,Fast,No Eggs,Unknown,25.0,75.0,90,Polka Dot Pokémon
nosepass,Nosepass,299,3,4,255,70,20,0,0,0,Gray,Humanoid,Cave,generation-iii,Medium,Mineral,Unknown,50.0,50.0,147,Compass Pokémon
skitty,Skitty,300,3,6,255,70,15,0,0,0,Pink,Quadruped,Forest,generation-iii,Fast,Ground,Fairy,25.0,75.0,148,Kitten Pokémon
delcatty,Delcatty,301,3,6,60,70,15,0,0,0,Purple,Quadruped,Forest,generation-iii,Fast,Ground,Fairy,25.0,75.0,148,Prim Pokémon
sableye,Sableye,302,3,4,45,35,25,0,0,0,Purple,Humanoid,Cave,generation-iii,Medium Slow,Humanshape,Unknown,50.0,50.0,149,Darkness Pokémon
mawile,Mawile,303,3,4,45,70,20,0,0,0,Black,Humanoid,Cave,generation-iii,Fast,Ground,Fairy,50.0,50.0,150,Deceiver Pokémon
aron,Aron,304,3,4,180,35,35,0,0,0,Gray,Quadruped,Mountain,generation-iii,Slow,Monster,Unknown,50.0,50.0,151,Iron Armor Pokémon
lairon,Lairon,305,3,4,90,35,35,0,0,0,Gray,Quadruped,Mountain,generation-iii,Slow,Monster,Unknown,50.0,50.0,151,Iron Armor Pokémon
aggron,Aggron,306,3,4,45,35,35,0,0,0,Gray,Upright,Mountain,generation-iii,Slow,Monster,Unknown,50.0,50.0,151,Iron Armor Pokémon
meditite,Meditite,307,3,4,180,70,20,0,0,0,Blue,Humanoid,Mountain,generation-iii,Medium,Humanshape,Unknown,50.0,50.0,152,Meditate Pokémon
medicham,Medicham,308,3,4,90,70,20,0,0,0,Red,Humanoid,Mountain,generation-iii,Medium,Humanshape,Unknown,50.0,50.0,152,Meditate Pokémon
electrike,Electrike,309,3,4,120,70,20,0,0,0,Green,Quadruped,Grassland,generation-iii,Slow,Ground,Unknown,50.0,50.0,153,Lightning Pokémon
manectric,Manectric,310,3,4,45,70,20,0,0,0,Yellow,Quadruped,Grassland,generation-iii,Slow,Ground,Unknown,50.0,50.0,153,Discharge Pokémon
plusle,Plusle,311,3,4,200,70,20,0,0,0,Yellow,Upright,Grassland,generation-iii,Medium,Fairy,Unknown,50.0,50.0,154,Cheering Pokémon
minun,Minun,312,3,4,200,70,20,0,0,0,Yellow,Upright,Grassland,generation-iii,Medium,Fairy,Unknown,50.0,50.0,155,Cheering Pokémon
volbeat,Volbeat,313,3,0,150,70,15,0,0,0,Gray,Upright,Forest,generation-iii,Slow Then Very femaleast,Bug,Humanshape,100.0,0.0,156,Firefly Pokémon
illumise,Illumise,314,3,8,150,70,15,0,0,0,Purple,Humanoid,Forest,generation-iii,Fast Then Very Slow,Bug,Humanshape,0.0,100.0,157,Firefly Pokémon
roselia,Roselia,315,3,4,150,70,20,0,0,0,Green,Humanoid,Grassland,generation-iii,Medium Slow,Fairy,Plant,50.0,50.0,158,Thorn Pokémon
gulpin,Gulpin,316,3,4,225,70,20,0,0,0,Green,Arms,Grassland,generation-iii,Fast Then Very Slow,Indeterminate,Unknown,50.0,50.0,159,Stomach Pokémon
swalot,Swalot,317,3,4,75,70,20,0,0,0,Purple,Arms,Grassland,generation-iii,Fast Then Very Slow,Indeterminate,Unknown,50.0,50.0,159,Poison Bag Pokémon
carvanha,Carvanha,318,3,4,225,35,20,0,0,0,Red,Fish,Sea,generation-iii,Slow,Water2,Unknown,50.0,50.0,160,Savage Pokémon
sharpedo,Sharpedo,319,3,4,60,35,20,0,0,0,Blue,Fish,Sea,generation-iii,Slow,Water2,Unknown,50.0,50.0,160,Brutal Pokémon
wailmer,Wailmer,320,3,4,125,70,40,0,0,0,Blue,Fish,Sea,generation-iii,Fast Then Very Slow,Ground,Water2,50.0,50.0,161,Ball Whale Pokémon
wailord,Wailord,321,3,4,60,70,40,0,0,0,Blue,Fish,Sea,generation-iii,Fast Then Very Slow,Ground,Water2,50.0,50.0,161,Float Whale Pokémon
numel,Numel,322,3,4,255,70,20,0,0,0,Yellow,Quadruped,Mountain,generation-iii,Medium,Ground,Unknown,50.0,50.0,162,Numb Pokémon
camerupt,Camerupt,323,3,4,150,70,20,0,0,0,Red,Quadruped,Mountain,generation-iii,Medium,Ground,Unknown,50.0,50.0,162,Eruption Pokémon
torkoal,Torkoal,324,3,4,90,70,20,0,0,0,Brown,Quadruped,Mountain,generation-iii,Medium,Ground,Unknown,50.0,50.0,163,Coal Pokémon
spoink,Spoink,325,3,4,255,70,20,0,0,0,Black,Arms,Mountain,generation-iii,Fast,Ground,Unknown,50.0,50.0,164,Bounce Pokémon
grumpig,Grumpig,326,3,4,60,70,20,0,0,0,Purple,Upright,Mountain,generation-iii,Fast,Ground,Unknown,50.0,50.0,164,Manipulate Pokémon
spinda,Spinda,327,3,4,255,70,15,0,0,0,Brown,Upright,Mountain,generation-iii,Fast,Ground,Humanshape,50.0,50.0,165,Spot Panda Pokémon
trapinch,Trapinch,328,3,4,255,70,20,0,0,0,Brown,Armor,Rough Terrain,generation-iii,Medium Slow,Bug,Dragon,50.0,50.0,166,Ant Pit Pokémon
vibrava,Vibrava,329,3,4,120,70,20,0,0,0,Green,Bug Wings,Rough Terrain,generation-iii,Medium Slow,Bug,Dragon,50.0,50.0,166,Vibration Pokémon
flygon,Flygon,330,3,4,45,70,20,0,0,0,Green,Wings,Rough Terrain,generation-iii,Medium Slow,Bug,Dragon,50.0,50.0,166,Mystic Pokémon
cacnea,Cacnea,331,3,4,190,35,20,0,0,0,Green,Humanoid,Rough Terrain,generation-iii,Medium Slow,Plant,Humanshape,50.0,50.0,167,Cactus Pokémon
cacturne,Cacturne,332,3,4,60,35,20,0,0,0,Green,Humanoid,Rough Terrain,generation-iii,Medium Slow,Plant,Humanshape,50.0,50.0,167,Scarecrow Pokémon
swablu,Swablu,333,3,4,255,70,20,0,0,0,Blue,Wings,Forest,generation-iii,Slow Then Very femaleast,Flying,Dragon,50.0,50.0,168,Cotton Bird Pokémon
altaria,Altaria,334,3,4,45,70,20,0,0,0,Blue,Wings,Forest,generation-iii,Slow Then Very femaleast,Flying,Dragon,50.0,50.0,168,Humming Pokémon
zangoose,Zangoose,335,3,4,90,70,20,0,0,0,White,Upright,Grassland,generation-iii,Slow Then Very femaleast,Ground,Unknown,50.0,50.0,169,Cat Ferret Pokémon
