move_name,move_display_name,move_type,damage_class,power,accuracy,pp
poison-gas,Poison Gas,Poison,status,,90.0,40
poison-jab,Poison Jab,Poison,physical,80.0,100.0,20
poison-powder,Poison Powder,Poison,status,,75.0,35
poison-sting,Poison Sting,Poison,physical,15.0,100.0,35
poison-tail,Poison Tail,Poison,physical,50.0,100.0,25
pollen-puff,Pollen Puff,Bug,special,90.0,100.0,15
poltergeist,Poltergeist,Ghost,physical,110.0,90.0,5
population-bomb,Population Bomb,Normal,physical,20.0,90.0,10
pounce,Pounce,Bug,physical,50.0,100.0,20
pound,Pound,Normal,physical,40.0,100.0,35
powder,Powder,Bug,status,,100.0,20
powder-snow,Powder Snow,Ice,special,40.0,100.0,25
power-gem,Power Gem,Rock,special,80.0,100.0,20
power-shift,Power Shift,Normal,status,0.0,,10
power-split,Power Split,Psychic,status,,,10
power-swap,Power Swap,Psychic,status,,,10
power-trick,Power Trick,Psychic,status,,,10
power-trip,Power Trip,Dark,physical,20.0,100.0,10
power-up-punch,Power-Up Punch,Fighting,physical,40.0,100.0,20
power-whip,Power Whip,Grass,physical,120.0,85.0,10
precipice-blades,Precipice Blades,Ground,physical,120.0,85.0,10
present,Present,Normal,physical,,90.0,15
prismatic-laser,Prismatic Laser,Psychic,special,160.0,100.0,10
protect,Protect,Normal,status,,,10
psybeam,Psybeam,Psychic,special,65.0,100.0,20
psyblade,Psyblade,Psychic,physical,80.0,100.0,15
psych-up,Psych Up,Normal,status,,,10
psychic,Psychic,Psychic,special,90.0,100.0,10
psychic-fangs,Psychic Fangs,Psychic,physical,85.0,100.0,10
psychic-noise,Psychic Noise,Psychic,special,75.0,100.0,10
psychic-terrain,Psychic Terrain,Psychic,status,,,10
psycho-boost,Psycho Boost,Psychic,special,140.0,90.0,5
psycho-cut,Psycho Cut,Psychic,physical,70.0,100.0,20
psycho-shift,Psycho Shift,Psychic,status,,100.0,10
psyshield-bash,Psyshield Bash,Psychic,physical,70.0,90.0,10
psyshock,Psyshock,Psychic,special,80.0,100.0,10
psystrike,Psystrike,Psychic,special,100.0,100.0,10
psywave,Psywave,Psychic,special,,100.0,15
punishment,Punishment,Dark,physical,,100.0,5
purify,Purify,Poison,status,,,20
pursuit,Pursuit,Dark,physical,40.0,100.0,20
pyro-ball,Pyro Ball,Fire,physical,120.0,90.0,5
quash,Quash,Dark,status,,100.0,15
quick-attack,Quick Attack,Normal,physical,40.0,100.0,30
quick-guard,Quick Guard,Fighting,status,,,15
quiver-dance,Quiver Dance,Bug,status,,,20
rage,Rage,Normal,physical,20.0,100.0,20
rage-fist,Rage Fist,Ghost,physical,50.0,100.0,10
rage-powder,Rage Powder,Bug,status,,,20
raging-bull,Raging Bull,Normal,physical,90.0,100.0,10
raging-fury,Raging Fury,Fire,physical,120.0,100.0,10
rain-dance,Rain Dance,Water,status,,,5
rapid-spin,Rapid Spin,Normal,physical,50.0,100.0,40
razor-leaf,Razor Leaf,Grass,physical,55.0,95.0,25
razor-shell,Razor Shell,Water,physical,75.0,95.0,10
razor-wind,Razor Wind,Normal,special,80.0,100.0,10
recover,Recover,Normal,status,,,5
recycle,Recycle,Normal,status,,,10
reflect,Reflect,Psychic,status,,,20
reflect-type,Reflect Type,Normal,status,,,15
refresh,Refresh,Normal,status,,,20
relic-song,Relic Song,Normal,special,75.0,100.0,10
rest,Rest,Psychic,status,,,5
retaliate,Retaliate,Normal,physical,70.0,100.0,5
return,Return,Normal,physical,,100.0,20
revelation-dance,Revelation Dance,Normal,special,90.0,100.0,15
revenge,Revenge,Fighting,physical,60.0,100.0,10
reversal,Reversal,Fighting,physical,,100.0,15
revival-blessing,Revival Blessing,Normal,status,0.0,,1
rising-voltage,Rising Voltage,Electric,special,70.0,100.0,20
roar,Roar,Normal,status,,,20
roar-of-time,Roar of Time,Dragon,special,150.0,90.0,5
rock-blast,Rock Blast,Rock,physical,25.0,90.0,10
rock-climb,Rock Climb,Normal,physical,90.0,85.0,20
rock-polish,Rock Polish,Rock,status,,,20
rock-slide,Rock Slide,Rock,physical,75.0,90.0,10
rock-smash,Rock Smash,Fighting,physical,40.0,100.0,15
rock-throw,Rock Throw,Rock,physical,50.0,90.0,15
rock-tomb,Rock Tomb,Rock,physical,60.0,95.0,15
rock-wrecker,Rock Wrecker,Rock,physical,150.0,90.0,5
role-play,Role Play,Psychic,status,,,10
rolling-kick,Rolling Kick,Fighting,physical,60.0,85.0,15
rollout,Rollout,Rock,physical,30.0,90.0,20
roost,Roost,Flying,status,,,5
rototiller,Rototiller,Ground,status,,,10
round,Round,Normal,special,60.0,100.0,15
ruination,Ruination,Dark,special,1.0,90.0,10
sacred-fire,Sacred Fire,Fire,physical,100.0,95.0,5
sacred-sword,Sacred Sword,Fighting,physical,90.0,100.0,15
safeguard,Safeguard,Normal,status,,,25
salt-cure,Salt Cure,Rock,physical,40.0,100.0,15
sand-attack,Sand Attack,Ground,status,,100.0,15
sand-tomb,Sand Tomb,Ground,physical,35.0,85.0,15
sandsear-storm,Sandsear Storm,Ground,special,100.0,80.0,10
sandstorm,Sandstorm,Rock,status,,,10
sappy-seed,Sappy Seed,Grass,physical,100.0,90.0,10
scald,Scald,Water,special,80.0,100.0,15
scale-shot,Scale Shot,Dragon,physical,25.0,90.0,20
scary-face,Scary Face,Normal,status,,100.0,10
scorching-sands,Scorching Sands,Ground,special,70.0,100.0,10
scratch,Scratch,Normal,physical,40.0,100.0,35
screech,Screech,Normal,status,,85.0,40
searing-shot,Searing Shot,Fire,special,100.0,100.0,5
secret-power,Secret Power,Normal,physical,70.0,100.0,20
secret-sword,Secret Sword,Fighting,special,85.0,100.0,10
seed-bomb,Seed Bomb,Grass,physical,80.0,100.0,15
seed-flare,Seed Flare,Grass,special,120.0,85.0,5
seismic-toss,Seismic Toss,Fighting,physical,,100.0,20
self-destruct,Self-Destruct,Normal,physical,200.0,100.0,5
shadow-ball,Shadow Ball,Ghost,special,80.0,100.0,15
shadow-bone,Shadow Bone,Ghost,physical,85.0,100.0,10
shadow-claw,Shadow Claw,Ghost,physical,70.0,100.0,15
shadow-force,Shadow Force,Ghost,physical,120.0,100.0,5
shadow-punch,Shadow Punch,Ghost,physical,60.0,,20
shadow-sneak,Shadow Sneak,Ghost,physical,40.0,100.0,30
sharpen,Sharpen,Normal,status,,,30
shed-tail,Shed Tail,Normal,status,0.0,,10
sheer-cold,Sheer Cold,Ice,special,,30.0,5
shell-side-arm,Shell Side Arm,Poison,special,90.0,100.0,10
shell-smash,Shell Smash,Normal,status,,,15
shell-trap,Shell Trap,Fire,special,150.0,100.0,5
shelter,Shelter,Steel,status,0.0,,10
shift-gear,Shift Gear,Steel,status,,,10
shock-wave,Shock Wave,Electric,special,60.0,,20
shore-up,Shore Up,Ground,status,,,5
signal-beam,Signal Beam,Bug,special,75.0,100.0,15
silk-trap,Silk Trap,Bug,status,0.0,,10
silver-wind,Silver Wind,Bug,special,60.0,100.0,5
simple-beam,Simple Beam,Normal,status,,100.0,15
sing,Sing,Normal,status,,55.0,15
sizzly-slide,Sizzly Slide,Fire,physical,60.0,100.0,20
sketch,Sketch,Normal,status,,,1
skill-swap,Skill Swap,Psychic,status,,,10
skitter-smack,Skitter Smack,Bug,physical,70.0,90.0,10
skull-bash,Skull Bash,Normal,physical,130.0,100.0,10
sky-attack,Sky Attack,Flying,physical,140.0,90.0,5
sky-drop,Sky Drop,Flying,physical,60.0,100.0,10
sky-uppercut,Sky Uppercut,Fighting,physical,85.0,90.0,15
slack-off,Slack Off,Normal,status,,,5
slam,Slam,Normal,physical,80.0,75.0,20
slash,Slash,Normal,physical,70.0,100.0,20
sleep-powder,Sleep Powder,Grass,status,,75.0,15
sleep-talk,Sleep Talk,Normal,status,,,10
sludge,Sludge,Poison,special,65.0,100.0,20
sludge-bomb,Sludge Bomb,Poison,special,90.0,100.0,10
sludge-wave,Sludge Wave,Poison,special,95.0,100.0,10
smack-down,Smack Down,Rock,physical,50.0,100.0,15
smart-strike,Smart Strike,Steel,physical,70.0,,10
smelling-salts,Smelling Salts,Normal,physical,70.0,100.0,10
smog,Smog,Poison,special,30.0,70.0,20
smokescreen,Smokescreen,Normal,status,,100.0,20
snap-trap,Snap Trap,Grass,physical,35.0,100.0,15
snarl,Snarl,Dark,special,55.0,95.0,15
snatch,Snatch,Dark,status,,,10
snipe-shot,Snipe Shot,Water,special,80.0,100.0,15
snore,Snore,Normal,special,50.0,100.0,15
snowscape,Snowscape,Ice,status,0.0,,10
soak,Soak,Water,status,,100.0,20
soft-boiled,Soft-Boiled,Normal,status,,,5
solar-beam,Solar Beam,Grass,special,120.0,100.0,10
solar-blade,Solar Blade,Grass,physical,125.0,100.0,10
sonic-boom,Sonic Boom,Normal,special,,90.0,20
spacial-rend,Spacial Rend,Dragon,special,100.0,95.0,5
spark,Spark,Electric,physical,65.0,100.0,20
sparkling-aria,Sparkling Aria,Water,special,90.0,100.0,10
sparkly-swirl,Sparkly Swirl,Fairy,special,120.0,85.0,5
spectral-thief,Spectral Thief,Ghost,physical,90.0,100.0,10
speed-swap,Speed Swap,Psychic,status,,,10
spicy-extract,Spicy Extract,Grass,status,0.0,,15
spider-web,Spider Web,Bug,status,,,10
spike-cannon,Spike Cannon,Normal,physical,20.0,100.0,15
spikes,Spikes,Ground,status,,,20
spiky-shield,Spiky Shield,Grass,status,,,10
spin-out,Spin Out,Steel,physical,100.0,100.0,5
spirit-break,Spirit Break,Fairy,physical,75.0,100.0,15
spirit-shackle,Spirit Shackle,Ghost,physical,80.0,100.0,10
spit-up,Spit Up,Normal,special,,100.0,10
spite,Spite,Ghost,status,,100.0,10
splash,Splash,Normal,status,,,40
splishy-splash,Splishy Splash,Water,special,90.0,100.0,15
spore,Spore,Grass,status,,100.0,15
spotlight,Spotlight,Normal,status,,,15
springtide-storm,Springtide Storm,Fairy,special,100.0,80.0,5
stealth-rock,Stealth Rock,Rock,status,,,20
steam-eruption,Steam Eruption,Water,special,110.0,95.0,5
steamroller,Steamroller,Bug,physical,65.0,100.0,20
steel-beam,Steel Beam,Steel,special,140.0,95.0,5
steel-roller,Steel Roller,Steel,physical,130.0,100.0,5
steel-wing,Steel Wing,Steel,physical,70.0,90.0,25
sticky-web,Sticky Web,Bug,status,,,20
stockpile,Stockpile,Normal,status,,,20
stomp,Stomp,Normal,physical,65.0,100.0,20
stomping-tantrum,Stomping Tantrum,Ground,physical,75.0,100.0,10
stone-axe,Stone Axe,Rock,physical,65.0,90.0,15
stone-edge,Stone Edge,Rock,physical,100.0,80.0,5
stored-power,Stored Power,Psychic,special,20.0,100.0,10
storm-throw,Storm Throw,Fighting,physical,60.0,100.0,10
strange-steam,Strange Steam,Fairy,special,90.0,95.0,10
strength,Strength,Normal,physical,80.0,100.0,15
strength-sap,Strength Sap,Grass,status,,100.0,10
string-shot,String Shot,Bug,status,,95.0,40
struggle-bug,Struggle Bug,Bug,special,50.0,100.0,20
stuff-cheeks,Stuff Cheeks,Normal,status,,,10
stun-spore,Stun Spore,Grass,status,,75.0,30
submission,Submission,Fighting,physical,80.0,80.0,20
substitute,Substitute,Normal,status,,,10
sucker-punch,Sucker Punch,Dark,physical,70.0,100.0,5
sunny-day,Sunny Day,Fire,status,,,5
sunsteel-strike,Sunsteel Strike,Steel,physical,100.0,100.0,5
super-fang,Super Fang,Normal,physical,,90.0,10
supercell-slam,Supercell Slam,Electric,physical,100.0,95.0,15
superpower,Superpower,Fighting,physical,120.0,100.0,5
supersonic,Supersonic,Normal,status,,55.0,20
surf,Surf,Water,special,90.0,100.0,15
surging-strikes,Surging Strikes,Water,physical,25.0,100.0,5
swagger,Swagger,Normal,status,,85.0,15
swallow,Swallow,Normal,status,,,10
sweet-kiss,Sweet Kiss,Fairy,status,,75.0,10
sweet-scent,Sweet Scent,Normal,status,,100.0,20
swift,Swift,Normal,special,60.0,,20
switcheroo,Switcheroo,Dark,status,,100.0,10
swords-dance,Swords Dance,Normal,status,,,20
synchronoise,Synchronoise,Psychic,special,120.0,100.0,10
synthesis,Synthesis,Grass,status,,,5
syrup-bomb,Syrup Bomb,Grass,special,60.0,85.0,10
tachyon-cutter,Tachyon Cutter,Steel,special,50.0,0.0,10
tackle,Tackle,Normal,physical,40.0,100.0,35
tail-glow,Tail Glow,Bug,status,,,20
tail-slap,Tail Slap,Normal,physical,25.0,85.0,10
tail-whip,Tail Whip,Normal,status,,100.0,30
tailwind,Tailwind,Flying,status,,,15
take-down,Take Down,Normal,physical,90.0,85.0,20
take-heart,Take Heart,Psychic,status,0.0,,10
tar-shot,Tar Shot,Rock,status,,100.0,15
taunt,Taunt,Dark,status,,100.0,20
tearful-look,Tearful Look,Normal,status,,,20
teatime,Teatime,Normal,status,,,10
techno-blast,Techno Blast,Normal,special,120.0,100.0,5
teeter-dance,Teeter Dance,Normal,status,,100.0,20
telekinesis,Telekinesis,Psychic,status,,,15
teleport,Teleport,Psychic,status,,,20
temper-flare,Temper Flare,Fire,physical,75.0,100.0,10
tera-blast,Tera Blast,Normal,special,80.0,100.0,10
tera-starstorm,Tera Starstorm,Normal,special,120.0,100.0,5
terrain-pulse,Terrain Pulse,Normal,special,50.0,100.0,10
thief,Thief,Dark,physical,60.0,100.0,25
thousand-arrows,Thousand Arrows,Ground,physical,90.0,100.0,10
thousand-waves,Thousand Waves,Ground,physical,90.0,100.0,10
thrash,Thrash,Normal,physical,120.0,100.0,10
throat-chop,Throat Chop,Dark,physical,80.0,100.0,15
thunder,Thunder,Electric,special,110.0,70.0,10
thunder-cage,Thunder Cage,Electric,special,80.0,90.0,15
thunder-fang,Thunder Fang,Electric,physical,65.0,95.0,15
thunder-punch,Thunder Punch,Electric,physical,75.0,100.0,15
thunder-shock,Thunder Shock,Electric,special,40.0,100.0,30
thunder-wave,Thunder Wave,Electric,status,,90.0,20
thunderbolt,Thunderbolt,Electric,special,90.0,100.0,15
thunderclap,Thunderclap,Electric,special,70.0,100.0,5
thunderous-kick,Thunderous Kick,Fighting,physical,90.0,100.0,10
tickle,Tickle,Normal,status,,100.0,20
tidy-up,Tidy Up,Normal,status,0.0,,10
topsy-turvy,Topsy-Turvy,Dark,status,,,20
torch-song,Torch Song,Fire,special,80.0,100.0,10
torment,Torment,Dark,status,,100.0,15
toxic,Toxic,Poison,status,,90.0,10
toxic-spikes,Toxic Spikes,Poison,status,,,20
toxic-thread,Toxic Thread,Poison,status,,100.0,20
trailblaze,Trailblaze,Grass,physical,50.0,100.0,20
transform,Transform,Normal,status,,,10
tri-attack,Tri Attack,Normal,special,80.0,100.0,10
trick,Trick,Psychic,status,,100.0,10
trick-or-treat,Trick-or-Treat,Ghost,status,,100.0,20
trick-room,Trick Room,Psychic,status,,,5
triple-arrows,Triple Arrows,Fighting,physical,90.0,100.0,10
triple-axel,Triple Axel,Ice,physical,20.0,90.0,10
triple-dive,Triple Dive,Water,physical,30.0,95.0,10
triple-kick,Triple Kick,Fighting,physical,10.0,90.0,10
trop-kick,Trop Kick,Grass,physical,70.0,100.0,15
trump-card,Trump Card,Normal,special,,,5
twin-beam,Twin Beam,Psychic,special,40.0,100.0,10
twineedle,Twineedle,Bug,physical,25.0,100.0,20
twister,Twister,Dragon,special,40.0,100.0,20
u-turn,U-turn,Bug,physical,70.0,100.0,20
upper-hand,Upper Hand,Fighting,physical,65.0,100.0,15
uproar,Uproar,Normal,special,90.0,100.0,10
v-create,V-create,Fire,physical,180.0,95.0,5
vacuum-wave,Vacuum Wave,Fighting,special,40.0,100.0,30
venom-drench,Venom Drench,Poison,status,,100.0,20
venoshock,Venoshock,Poison,special,65.0,100.0,10
vice-grip,Vise Grip,Normal,physical,55.0,100.0,30
victory-dance,Victory Dance,Fighting,status,0.0,,10
vine-whip,Vine Whip,Grass,physical,45.0,100.0,25
vital-throw,Vital Throw,Fighting,physical,70.0,,10
volt-switch,Volt Switch,Electric,special,70.0,100.0,20
volt-tackle,Volt Tackle,Electric,physical,120.0,100.0,15
wake-up-slap,Wake-Up Slap,Fighting,physical,70.0,100.0,10
water-gun,Water Gun,Water,special,40.0,100.0,25
water-pledge,Water Pledge,Water,special,80.0,100.0,10
water-pulse,Water Pulse,Water,special,60.0,100.0,20
water-shuriken,Water Shuriken,Water,special,15.0,100.0,20
water-sport,Water Sport,Water,status,,,15
water-spout,Water Spout,Water,special,150.0,100.0,5
waterfall,Waterfall,Water,physical,80.0,100.0,15
wave-crash,Wave Crash,Water,physical,120.0,100.0,10
weather-ball,Weather Ball,Normal,special,50.0,100.0,10
whirlpool,Whirlpool,Water,special,35.0,85.0,15
whirlwind,Whirlwind,Normal,status,,,20
wicked-blow,Wicked Blow,Dark,physical,75.0,100.0,5
wide-guard,Wide Guard,Rock,status,,,10
wild-charge,Wild Charge,Electric,physical,90.0,100.0,15
wildbolt-storm,Wildbolt Storm,Electric,special,100.0,80.0,10
will-o-wisp,Will-O-Wisp,Fire,status,,85.0,15
wing-attack,Wing Attack,Flying,physical,60.0,100.0,35
wish,Wish,Normal,status,,,10
withdraw,Withdraw,Water,status,,,40
wonder-room,Wonder Room,Psychic,status,,,10
wood-hammer,Wood Hammer,Grass,physical,120.0,100.0,15
work-up,Work Up,Normal,status,,,30
worry-seed,Worry Seed,Grass,status,,100.0,10
wrap,Wrap,Normal,physical,15.0,90.0,20
wring-out,Wring Out,Normal,special,,100.0,5
x-scissor,X-Scissor,Bug,physical,80.0,100.0,15
yawn,Yawn,Normal,status,,,10
zap-cannon,Zap Cannon,Electric,special,120.0,50.0,5
zen-headbutt,Zen Headbutt,Psychic,physical,80.0,90.0,15
zing-zap,Zing Zap,Electric,physical,80.0,100.0,10
zippy-zap,Zippy Zap,Electric,physical,80.0,100.0,10
